SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
3000001,5.6,7.75,4.0,5.783333333333334,5.783333333333334
3000003,7.2,8.25,6.4,7.283333333333334,7.283333333333334
3000004,4.0,5.75,2.6,4.116666666666666,4.116666666666666
3000005,4.8,7.0,4.0,5.266666666666667,5.266666666666667
3000006,7.6,8.75,8.4,8.25,8.25
3000007,5.6,7.0,4.2,5.6000000000000005,5.6000000000000005
3000008,3.4,3.75,2.6,3.25,3.25
3000009,4.6,7.0,3.2,4.933333333333334,4.933333333333334
3000010,5.8,7.5,6.0,6.433333333333334,6.433333333333334
3000011,3.6,5.75,3.4,4.25,4.25
3000012,5.8,8.5,5.2,6.5,6.5
3000013,6.2,3.5,3.0,4.233333333333333,4.233333333333333
3000014,4.4,6.0,2.0,4.133333333333334,4.133333333333334
3000015,4.4,6.75,4.0,5.05,5.05
3000016,5.0,4.0,3.2,4.066666666666666,4.066666666666666
3000017,4.8,5.0,3.0,4.266666666666667,4.266666666666667
3000018,3.4,4.25,1.6,3.083333333333333,3.0833333333333335
3000019,6.0,6.75,6.0,6.25,6.25
3000020,4.0,7.0,4.4,5.133333333333334,5.133333333333334
3000021,5.6,8.25,4.4,6.083333333333333,6.083333333333333
3000022,3.6,5.0,1.8,3.466666666666667,3.466666666666667
3000023,3.8,5.5,2.0,3.766666666666667,3.766666666666667
3000024,4.6,5.5,3.4,4.5,4.5
3000025,5.0,6.5,4.2,5.233333333333333,5.233333333333333
3000026,5.8,7.25,4.2,5.75,5.75
3000027,5.4,6.5,2.0,4.633333333333334,4.633333333333334
3000028,6.0,6.5,3.6,5.366666666666667,5.366666666666667
3000029,3.6,5.25,2.0,3.6166666666666663,3.6166666666666667
3000030,6.0,7.75,4.6,6.116666666666667,6.116666666666667
3000031,5.2,6.25,3.4,4.95,4.95
3000032,3.6,4.5,2.6,3.5666666666666664,3.5666666666666664
3000033,5.6,7.5,5.8,6.3,6.3
3000034,2.2,3.5,2.4,2.7,2.6999999999999997
3000035,4.2,6.25,3.8,4.75,4.75
3000036,5.6,8.0,6.4,6.666666666666667,6.666666666666667
3000037,5.8,6.25,6.6,6.216666666666666,6.216666666666666
3000038,3.0,5.25,2.4,3.5500000000000003,3.5500000000000003
3000039,4.2,6.25,1.6,4.016666666666667,4.016666666666667
3000040,4.0,5.25,3.0,4.083333333333333,4.083333333333333
3000041,3.6,6.75,3.2,4.516666666666667,4.516666666666667
3000042,5.2,6.75,3.8,5.25,5.25
3000043,5.2,6.5,4.4,5.366666666666667,5.366666666666667
3000044,4.0,7.0,2.2,4.4,4.3999999999999995
3000045,6.0,7.25,6.8,6.683333333333334,6.683333333333334
3000046,5.4,5.75,3.2,4.783333333333334,4.783333333333334
3000047,4.2,7.0,4.0,5.066666666666666,5.066666666666666
3000048,5.0,6.5,7.0,6.166666666666667,6.166666666666667
3000049,5.2,8.0,5.6,6.266666666666666,6.266666666666666
3000050,4.8,7.25,5.0,5.683333333333334,5.683333333333334
3000051,3.8,5.5,4.4,4.566666666666667,4.566666666666667
3000052,4.6,6.25,4.0,4.95,4.95
3000053,4.0,5.75,3.2,4.316666666666666,4.316666666666666
3000054,5.2,5.5,2.8,4.5,4.5
3000055,3.8,5.0,2.4,3.733333333333334,3.733333333333334
3000056,4.2,5.75,3.2,4.383333333333333,4.383333333333333
3000057,3.4,3.75,2.2,3.116666666666667,3.116666666666667
3000058,4.0,7.75,3.6,5.116666666666666,5.116666666666666
3000059,5.0,4.75,3.0,4.25,4.25
3000060,4.8,6.75,5.4,5.650000000000001,5.650000000000001
3000061,3.0,5.0,2.2,3.4,3.4
3000062,4.4,7.75,5.6,5.916666666666667,5.916666666666667
3000063,6.2,7.5,5.4,6.366666666666667,6.366666666666667
3000064,5.8,6.75,4.6,5.716666666666666,5.716666666666666
3000065,5.8,6.25,5.2,5.75,5.75
3000066,5.6,5.75,3.2,4.8500000000000005,4.8500000000000005
3000067,5.0,6.5,2.2,4.566666666666666,4.566666666666666
3000068,6.2,7.25,6.8,6.75,6.75
3000069,5.6,6.5,5.0,5.7,5.7
3000070,5.2,6.5,4.4,5.366666666666667,5.366666666666667
3000071,4.8,5.75,3.8,4.783333333333334,4.783333333333334
3000072,2.6,5.0,3.0,3.533333333333333,3.533333333333333
3000073,3.6,3.5,1.8,2.966666666666667,2.966666666666667
3000074,3.6,5.25,3.2,4.016666666666667,4.016666666666667
3000075,4.4,5.25,3.4,4.3500000000000005,4.3500000000000005
3000076,5.0,6.25,3.2,4.816666666666666,4.816666666666666
3000077,5.2,8.0,6.0,6.4,6.3999999999999995
3000078,5.6,7.0,3.4,5.333333333333333,5.333333333333333
3000079,7.2,7.5,6.8,7.166666666666667,7.166666666666667
3000080,5.4,7.25,6.0,6.216666666666666,6.216666666666666
3000081,6.0,7.5,7.4,6.966666666666666,6.966666666666666
3000082,5.0,7.25,4.0,5.416666666666667,5.416666666666667
3000083,5.6,7.0,4.4,5.666666666666667,5.666666666666667
3000084,5.6,6.75,4.4,5.583333333333333,5.583333333333333
3000085,5.4,7.75,5.2,6.116666666666667,6.116666666666667
3000086,5.6,7.25,5.8,6.216666666666666,6.216666666666666
3000087,5.2,6.0,2.8,4.666666666666667,4.666666666666667
3000088,3.4,3.5,2.6,3.1666666666666665,3.1666666666666665
3000089,4.0,4.5,2.2,3.5666666666666664,3.5666666666666664
3000090,6.4,8.25,5.4,6.683333333333334,6.683333333333334
3000091,5.8,7.25,4.2,5.75,5.75
3000092,1.6,6.5,3.2,3.766666666666667,3.766666666666667
3000093,6.2,5.25,3.8,5.083333333333333,5.083333333333333
3000094,5.8,7.0,3.0,5.266666666666667,5.266666666666667
3000095,6.4,6.5,5.0,5.966666666666666,5.966666666666666
3000096,3.2,5.5,2.2,3.633333333333333,3.633333333333333
3000097,6.8,7.5,6.4,6.900000000000001,6.900000000000001
3000098,5.6,6.25,4.2,5.3500000000000005,5.3500000000000005
3000099,3.4,3.25,1.2,2.6166666666666667,2.6166666666666667
3000100,5.0,5.25,2.8,4.3500000000000005,4.3500000000000005
3000101,5.2,7.0,4.8,5.666666666666667,5.666666666666667
3000102,4.6,5.0,1.2,3.6,3.5999999999999996
3000103,4.4,5.5,2.8,4.233333333333333,4.233333333333333
3000104,5.4,6.25,3.4,5.016666666666667,5.016666666666667
3000105,4.6,6.5,7.0,6.033333333333334,6.033333333333334
3000106,5.8,7.75,5.2,6.25,6.25
3000107,6.0,3.5,3.4,4.3,4.3
3000108,2.0,5.25,2.8,3.35,3.35
3000109,4.0,3.0,2.8,3.266666666666667,3.266666666666667
3000110,3.2,3.5,3.2,3.3000000000000003,3.3000000000000003
3000111,5.4,6.0,3.0,4.8,4.8
3000112,5.4,4.25,3.2,4.283333333333334,4.283333333333334
3000113,3.8,5.5,3.0,4.1000000000000005,4.1000000000000005
3000114,4.0,4.75,2.8,3.85,3.85
3000115,4.0,5.0,2.4,3.8,3.8000000000000003
3000116,6.6,7.25,7.8,7.216666666666666,7.216666666666666
3000117,5.6,6.5,3.4,5.166666666666667,5.166666666666667
