SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
61000001,5.2,5.0,3.6,4.6,4.6
61000002,7.4,8.5,4.4,6.766666666666667,6.766666666666667
61000003,2.8,7.5,4.2,4.833333333333333,4.833333333333333
61000004,5.6,6.5,4.0,5.366666666666667,5.366666666666667
61000005,4.4,6.0,3.2,4.533333333333334,4.533333333333334
61000006,7.4,6.0,4.6,6.0,6.0
61000007,5.2,7.0,5.2,5.8,5.8
61000008,4.2,6.0,4.2,4.8,4.8
61000009,8.2,8.25,5.6,7.349999999999999,7.349999999999999
61000010,5.0,6.5,4.2,5.233333333333333,5.233333333333333
61000011,3.2,5.0,1.8,3.333333333333333,3.3333333333333335
61000012,5.0,6.5,4.8,5.433333333333334,5.433333333333334
61000013,5.0,6.0,2.8,4.6000000000000005,4.6000000000000005
61000014,7.6,7.0,7.2,7.266666666666667,7.266666666666667
61000015,7.2,6.75,7.0,6.983333333333333,6.983333333333333
61000016,8.0,6.0,4.6,6.2,6.2
61000017,6.4,4.5,4.4,5.1000000000000005,5.1000000000000005
61000018,4.8,5.0,2.6,4.133333333333334,4.133333333333334
61000019,6.8,6.5,4.6,5.966666666666666,5.966666666666666
61000020,6.8,6.0,5.4,6.066666666666667,6.066666666666667
61000021,5.2,5.0,2.6,4.266666666666667,4.266666666666667
61000022,3.2,4.0,2.4,3.2,3.1999999999999997
61000023,4.4,4.5,3.6,4.166666666666667,4.166666666666667
61000024,2.4,4.0,2.8,3.0666666666666664,3.0666666666666664
61000025,3.6,4.75,2.6,3.65,3.65
61000026,7.0,7.25,4.6,6.283333333333334,6.283333333333334
61000027,9.2,6.0,5.0,6.733333333333333,6.733333333333333
61000028,4.4,6.0,2.6,4.333333333333333,4.333333333333333
61000030,5.4,5.25,3.0,4.55,4.55
61000031,4.6,5.75,3.4,4.583333333333333,4.583333333333333
61000032,9.4,6.0,5.6,7.0,7.0
61000033,5.0,4.0,2.6,3.8666666666666663,3.8666666666666667
61000034,5.6,4.75,3.6,4.65,4.6499999999999995
61000035,6.0,5.0,3.6,4.866666666666666,4.866666666666666
61000037,3.4,3.25,3.2,3.2833333333333337,3.2833333333333337
61000039,5.6,4.0,2.0,3.8666666666666663,3.8666666666666667
61000040,3.2,4.5,3.8,3.8333333333333335,3.8333333333333335
61000041,5.4,5.25,3.8,4.816666666666666,4.816666666666666
61000042,2.2,3.25,3.0,2.8166666666666664,2.8166666666666664
61000043,7.0,6.25,7.0,6.75,6.75
61000044,5.4,7.0,6.0,6.133333333333333,6.133333333333333
61000045,3.2,6.5,3.2,4.3,4.3
61000046,5.2,4.25,5.4,4.95,4.95
61000047,7.4,5.5,4.6,5.833333333333333,5.833333333333333
61000048,6.6,6.5,2.8,5.3,5.3
61000049,7.2,7.5,2.8,5.833333333333333,5.833333333333333
61000050,7.6,5.5,4.8,5.966666666666666,5.966666666666666
61000051,5.2,4.25,3.4,4.283333333333333,4.283333333333333
61000052,5.0,5.0,8.6,6.2,6.2
61000053,5.0,5.25,2.8,4.3500000000000005,4.3500000000000005
61000055,7.2,5.75,4.0,5.65,5.6499999999999995
61000056,5.2,5.25,2.4,4.283333333333333,4.283333333333333
61000057,7.2,6.0,6.0,6.4,6.3999999999999995
61000058,5.6,5.25,5.6,5.483333333333333,5.483333333333333
61000059,4.4,5.5,6.6,5.5,5.5
61000060,7.6,6.25,2.4,5.416666666666667,5.416666666666667
61000061,6.2,6.75,3.0,5.316666666666666,5.316666666666666
61000062,5.6,5.0,2.8,4.466666666666666,4.466666666666666
61000063,5.4,5.0,4.0,4.8,4.8
61000064,7.2,5.0,4.4,5.533333333333334,5.533333333333334
61000065,8.0,7.0,9.4,8.133333333333333,8.133333333333333
61000066,4.6,5.5,2.2,4.1000000000000005,4.1000000000000005
61000067,4.0,6.5,3.4,4.633333333333334,4.633333333333334
61000068,6.4,5.75,3.8,5.316666666666666,5.316666666666666
61000069,3.0,2.75,1.8,2.5166666666666666,2.5166666666666666
61000070,5.4,5.75,6.4,5.8500000000000005,5.8500000000000005
61000071,6.8,8.25,5.2,6.75,6.75
61000072,4.8,4.5,3.8,4.366666666666667,4.366666666666667
61000073,6.6,7.75,6.2,6.8500000000000005,6.8500000000000005
61000074,8.0,5.0,8.4,7.133333333333333,7.133333333333333
61000075,5.6,6.25,5.6,5.816666666666666,5.816666666666666
61000076,3.4,6.0,2.4,3.9333333333333336,3.9333333333333336
61000077,5.2,6.0,4.4,5.2,5.2
61000078,4.2,5.75,5.0,4.983333333333333,4.983333333333333
61000079,5.4,5.0,4.4,4.933333333333334,4.933333333333334
61000080,5.2,5.0,2.0,4.066666666666666,4.066666666666666
61000081,6.2,5.75,3.6,5.183333333333333,5.183333333333333
61000082,6.2,6.5,4.6,5.766666666666666,5.766666666666666
61000083,7.2,5.0,2.6,4.933333333333333,4.933333333333333
61000084,7.4,6.5,7.8,7.233333333333333,7.233333333333333
61000085,7.2,3.0,3.8,4.666666666666667,4.666666666666667
61000086,7.2,0.0,6.2,4.466666666666667,4.466666666666667
61000087,4.8,5.25,6.8,5.616666666666667,5.616666666666667
61000088,5.0,6.0,5.8,5.6000000000000005,5.6000000000000005
61000089,4.0,4.0,2.4,3.466666666666667,3.466666666666667
61000090,7.2,6.0,3.8,5.666666666666667,5.666666666666667
61000091,8.0,6.75,6.8,7.183333333333334,7.183333333333334
61000092,7.0,7.25,5.4,6.55,6.55
61000093,4.0,6.25,2.4,4.216666666666667,4.216666666666667
61000094,3.6,4.25,2.0,3.283333333333333,3.283333333333333
61000095,4.6,6.25,5.2,5.3500000000000005,5.3500000000000005
61000096,8.2,5.0,6.2,6.466666666666666,6.466666666666666
61000097,4.4,6.75,3.6,4.916666666666667,4.916666666666667
61000098,5.4,4.75,3.2,4.45,4.45
61000099,2.2,0.0,3.4,1.8666666666666665,1.8666666666666665
61000100,6.8,8.0,7.6,7.466666666666666,7.466666666666666
61000101,6.4,6.5,5.0,5.966666666666666,5.966666666666666
61000102,6.6,8.0,3.6,6.066666666666666,6.066666666666666
61000103,5.6,6.75,6.4,6.25,6.25
61000105,6.2,6.25,3.6,5.3500000000000005,5.3500000000000005
61000106,7.4,6.0,6.0,6.466666666666666,6.466666666666666
61000107,5.0,5.75,4.4,5.05,5.05
61000108,6.2,6.5,4.4,5.7,5.7
61000109,5.2,4.25,5.2,4.883333333333333,4.883333333333333
61000110,7.2,6.25,6.2,6.55,6.55
61000111,4.2,4.75,3.8,4.25,4.25
61000112,2.6,5.75,3.4,3.9166666666666665,3.9166666666666665
61000113,4.2,5.0,4.4,4.533333333333333,4.533333333333333
61000114,3.8,5.25,1.8,3.616666666666667,3.616666666666667
61000115,6.0,7.0,5.2,6.066666666666666,6.066666666666666
61000116,5.4,6.0,5.6,5.666666666666667,5.666666666666667
61000117,3.0,5.0,2.0,3.333333333333333,3.3333333333333335
61000118,6.6,5.25,4.4,5.416666666666667,5.416666666666667
61000119,6.4,6.5,7.4,6.766666666666667,6.766666666666667
61000120,5.8,5.5,5.2,5.5,5.5
61000121,8.4,6.0,6.0,6.8,6.8
61000122,7.2,6.75,5.0,6.316666666666666,6.316666666666666
61000123,7.0,6.5,7.0,6.833333333333333,6.833333333333333
61000124,4.8,3.25,4.4,4.15,4.15
61000125,2.0,4.75,2.2,2.983333333333333,2.983333333333333
61000126,6.0,6.5,3.6,5.366666666666667,5.366666666666667
61000127,4.4,4.5,3.2,4.033333333333334,4.033333333333334
61000128,6.6,3.75,3.8,4.716666666666666,4.716666666666666
61000129,7.6,7.5,8.6,7.899999999999999,7.8999999999999995
61000130,6.2,6.0,4.4,5.533333333333334,5.533333333333334
61000131,5.8,6.75,6.4,6.316666666666667,6.316666666666667
61000132,7.0,6.5,5.2,6.233333333333333,6.233333333333333
61000133,6.8,4.5,3.6,4.966666666666667,4.966666666666667
61000134,3.6,4.75,4.0,4.116666666666666,4.116666666666666
61000135,7.6,6.0,4.6,6.066666666666666,6.066666666666666
61000136,8.8,6.75,5.2,6.916666666666667,6.916666666666667
61000137,5.8,7.5,7.4,6.900000000000001,6.900000000000001
61000138,5.4,6.0,4.0,5.133333333333334,5.133333333333334
61000140,2.2,2.0,2.4,2.2,2.1999999999999997
61000141,7.0,5.5,4.6,5.7,5.7
61000142,6.4,5.0,4.8,5.4,5.3999999999999995
61000143,3.8,5.25,2.2,3.75,3.75
61000144,7.2,4.75,4.8,5.583333333333333,5.583333333333333
61000145,6.0,5.5,5.6,5.7,5.7
61000146,5.2,5.0,3.4,4.533333333333333,4.533333333333333
61000147,7.8,5.0,8.6,7.133333333333333,7.133333333333333
61000148,7.2,6.25,8.4,7.283333333333334,7.283333333333334
61000149,6.0,6.5,5.2,5.9,5.8999999999999995
61000150,5.0,4.25,3.8,4.3500000000000005,4.3500000000000005
61000151,5.0,0.0,2.8,2.6,2.6
61000152,5.0,5.5,4.4,4.966666666666667,4.966666666666667
61000153,8.4,6.0,3.8,6.066666666666666,6.066666666666666
61000154,6.0,4.25,3.0,4.416666666666667,4.416666666666667
61000155,8.6,4.5,7.2,6.766666666666667,6.766666666666667
61000156,5.6,4.25,5.2,5.016666666666667,5.016666666666667
61000157,6.4,4.5,2.4,4.433333333333334,4.433333333333334
61000158,5.2,4.5,2.6,4.1,4.1
61000159,7.4,7.0,6.0,6.8,6.8
61000160,5.8,5.75,2.0,4.516666666666667,4.516666666666667
61000161,4.4,6.5,4.8,5.233333333333333,5.233333333333333
