SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
21000003,8.6,6.75,5.8,7.05,7.05
21000004,7.8,8.5,7.0,7.766666666666667,7.766666666666667
21000006,8.4,7.75,8.8,8.316666666666666,8.316666666666666
21000007,5.6,7.25,3.2,5.3500000000000005,5.3500000000000005
21000008,7.4,7.5,8.8,7.900000000000001,7.900000000000001
21000009,8.2,6.25,9.8,8.083333333333334,8.083333333333334
21000010,8.6,8.75,9.0,8.783333333333333,8.783333333333333
21000011,9.0,8.0,9.6,8.866666666666667,8.866666666666667
21000012,6.4,7.5,7.4,7.1000000000000005,7.1000000000000005
21000013,8.8,8.0,9.0,8.6,8.6
21000014,8.6,6.25,6.0,6.95,6.95
21000016,7.4,7.75,9.0,8.049999999999999,8.049999999999999
21000017,8.0,7.5,7.8,7.766666666666667,7.766666666666667
21000018,7.2,7.75,7.6,7.516666666666666,7.516666666666666
21000020,8.0,8.25,5.2,7.15,7.1499999999999995
21000021,8.4,6.25,5.6,6.75,6.75
21000022,7.6,7.0,6.4,7.0,7.0
21000024,7.2,6.5,4.8,6.166666666666667,6.166666666666667
21000026,8.8,7.5,8.2,8.166666666666666,8.166666666666666
21000028,7.0,7.75,6.2,6.983333333333333,6.983333333333333
21000029,8.4,6.25,7.4,7.35,7.3500000000000005
21000030,6.6,8.5,8.0,7.7,7.7
21000031,9.2,8.25,8.8,8.75,8.75
21000032,8.2,7.25,7.8,7.75,7.75
21000033,9.0,7.25,9.2,8.483333333333333,8.483333333333333
21000034,8.8,7.5,9.2,8.5,8.5
21000035,8.4,6.75,6.8,7.316666666666666,7.316666666666666
21000036,7.4,8.0,8.8,8.066666666666668,8.066666666666668
21000037,7.2,6.5,9.8,7.833333333333333,7.833333333333333
21000038,9.0,6.5,9.4,8.299999999999999,8.299999999999999
21000039,8.0,7.0,8.6,7.866666666666667,7.866666666666667
21000040,7.8,7.25,8.0,7.683333333333334,7.683333333333334
21000041,8.6,5.5,5.2,6.433333333333334,6.433333333333334
21000042,7.6,8.0,9.2,8.266666666666666,8.266666666666666
21000043,8.4,8.5,8.8,8.566666666666666,8.566666666666666
21000044,7.4,8.25,7.4,7.683333333333334,7.683333333333334
21000045,8.0,6.0,4.0,6.0,6.0
21000046,8.8,8.5,9.2,8.833333333333334,8.833333333333334
21000047,7.6,6.5,5.8,6.633333333333333,6.633333333333333
21000048,7.0,7.25,5.2,6.483333333333333,6.483333333333333
21000050,9.2,8.0,9.0,8.733333333333333,8.733333333333333
21000051,7.2,6.5,6.6,6.766666666666666,6.766666666666666
21000052,8.2,0.0,8.4,5.533333333333334,5.533333333333334
21000057,7.6,6.75,8.0,7.45,7.45
21000058,9.2,8.75,7.8,8.583333333333334,8.583333333333334
21000059,8.4,6.5,9.4,8.1,8.1
21000060,8.8,8.0,9.0,8.6,8.6
21000063,8.2,5.75,4.2,6.05,6.05
21000064,8.2,7.0,3.8,6.333333333333333,6.333333333333333
21000067,8.4,6.5,7.8,7.566666666666666,7.566666666666666
21000069,7.8,7.25,7.0,7.35,7.3500000000000005
21000070,8.2,7.5,7.8,7.833333333333333,7.833333333333333
21000071,6.8,7.25,9.6,7.883333333333333,7.883333333333333
21000072,8.8,7.25,9.2,8.416666666666666,8.416666666666666
21000073,7.8,7.0,8.4,7.733333333333334,7.733333333333334
21000074,7.2,7.75,6.8,7.25,7.25
21000075,8.4,7.25,4.8,6.816666666666666,6.816666666666666
21000076,7.8,6.25,6.0,6.683333333333334,6.683333333333334
21000079,9.0,7.5,7.4,7.966666666666666,7.966666666666666
21000080,9.2,7.0,7.6,7.933333333333333,7.933333333333333
21000081,8.4,8.0,9.4,8.6,8.6
21000083,8.0,8.0,8.4,8.133333333333333,8.133333333333333
21000085,8.8,6.0,7.0,7.266666666666667,7.266666666666667
21000087,7.8,5.75,6.2,6.583333333333333,6.583333333333333
21000088,8.4,6.5,9.0,7.966666666666666,7.966666666666666
21000090,8.6,6.5,10.0,8.366666666666667,8.366666666666667
21000091,8.2,4.25,9.0,7.15,7.1499999999999995
21000097,8.4,8.5,9.0,8.633333333333333,8.633333333333333
21000099,9.0,8.25,9.2,8.816666666666666,8.816666666666666
21000100,8.4,8.75,9.6,8.916666666666666,8.916666666666666
21000101,8.6,5.75,8.0,7.45,7.45
21000102,8.6,8.5,8.2,8.433333333333334,8.433333333333334
21000103,8.2,8.5,9.0,8.566666666666666,8.566666666666666
21000104,8.0,5.5,7.4,6.966666666666666,6.966666666666666
21000106,8.0,8.25,8.8,8.35,8.35
21000107,9.2,7.75,8.4,8.450000000000001,8.450000000000001
21000109,9.4,6.75,10.0,8.716666666666667,8.716666666666667
21000110,8.4,7.5,5.2,7.033333333333334,7.033333333333334
21000112,9.2,5.25,9.6,8.016666666666666,8.016666666666666
21000114,6.0,5.0,7.4,6.133333333333333,6.133333333333333
21000115,9.0,8.0,8.6,8.533333333333333,8.533333333333333
21000116,8.6,3.75,5.6,5.983333333333333,5.983333333333333
21000123,8.2,5.5,4.4,6.033333333333334,6.033333333333334
21000124,8.6,5.5,6.8,6.966666666666666,6.966666666666666
21000125,9.0,7.25,8.8,8.35,8.35
21000127,8.6,5.0,6.2,6.6000000000000005,6.6000000000000005
21000128,8.6,6.0,9.0,7.866666666666667,7.866666666666667
21000131,8.4,8.75,7.2,8.116666666666665,8.116666666666665
21000132,8.4,6.0,7.6,7.333333333333333,7.333333333333333
21000134,5.8,8.0,7.2,7.0,7.0
21000135,7.6,7.75,7.0,7.45,7.45
21000137,7.6,6.75,6.6,6.983333333333333,6.983333333333333
21000138,9.0,7.75,6.2,7.649999999999999,7.6499999999999995
21000139,8.8,8.5,9.2,8.833333333333334,8.833333333333334
21000140,8.6,8.0,9.0,8.533333333333333,8.533333333333333
21000141,6.8,6.25,5.6,6.216666666666666,6.216666666666666
21000142,8.8,8.5,9.6,8.966666666666667,8.966666666666667
21000144,8.4,8.5,9.2,8.7,8.7
21000145,8.6,8.75,8.6,8.65,8.65
21000146,8.4,8.0,9.2,8.533333333333333,8.533333333333333
21000148,8.6,8.25,9.8,8.883333333333335,8.883333333333335
21000149,8.4,8.25,6.6,7.75,7.75
21000151,3.4,5.75,5.4,4.8500000000000005,4.8500000000000005
21000152,7.2,6.0,8.2,7.133333333333333,7.133333333333333
21000153,8.2,6.0,9.0,7.733333333333333,7.733333333333333
21000155,8.4,6.75,7.0,7.383333333333333,7.383333333333333
21000157,8.8,8.25,9.8,8.950000000000001,8.950000000000001
21000159,8.0,7.75,5.0,6.916666666666667,6.916666666666667
21000161,5.6,7.5,7.2,6.766666666666667,6.766666666666667
21000162,7.8,7.5,6.4,7.233333333333334,7.233333333333334
21000164,7.8,7.25,5.8,6.95,6.95
21000166,8.2,5.0,8.0,7.066666666666666,7.066666666666666
21000168,8.4,7.25,9.2,8.283333333333333,8.283333333333333
21000169,6.4,7.5,4.6,6.166666666666667,6.166666666666667
21000170,9.2,8.25,8.2,8.549999999999999,8.549999999999999
21000171,7.8,8.0,5.6,7.133333333333333,7.133333333333333
21000172,7.8,7.5,9.6,8.299999999999999,8.299999999999999
21000174,5.6,7.75,8.8,7.383333333333333,7.383333333333333
21000175,9.2,7.0,9.4,8.533333333333333,8.533333333333333
21000176,8.0,6.0,8.8,7.6,7.6000000000000005
21000177,8.8,5.75,5.6,6.716666666666666,6.716666666666666
21000178,9.4,5.75,10.0,8.383333333333333,8.383333333333333
21000179,7.8,8.0,8.8,8.200000000000001,8.200000000000001
21000180,7.2,6.75,9.0,7.649999999999999,7.6499999999999995
21000182,8.8,4.75,6.6,6.716666666666666,6.716666666666666
21000183,8.6,6.75,8.2,7.849999999999999,7.849999999999999
21000184,8.6,8.25,8.4,8.416666666666666,8.416666666666666
21000186,8.8,9.0,9.8,9.2,9.200000000000001
21000187,8.8,8.25,9.4,8.816666666666668,8.816666666666668
21000190,8.4,7.5,7.0,7.633333333333333,7.633333333333333
21000194,8.2,6.25,4.8,6.416666666666667,6.416666666666667
21000195,8.8,8.25,9.4,8.816666666666668,8.816666666666668
21000196,8.4,7.25,6.0,7.216666666666666,7.216666666666666
21000198,8.0,7.0,7.8,7.6,7.6000000000000005
21000199,8.4,6.5,8.2,7.7,7.7
21000200,7.2,8.0,5.4,6.866666666666667,6.866666666666667
21000201,9.0,8.25,9.0,8.75,8.75
21000202,8.8,6.5,9.2,8.166666666666666,8.166666666666666
21000204,8.6,7.75,8.6,8.316666666666668,8.316666666666668
21000205,6.6,5.75,3.2,5.183333333333334,5.183333333333334
21000206,8.2,5.25,8.2,7.216666666666666,7.216666666666666
21000208,8.4,7.5,5.6,7.166666666666667,7.166666666666667
21000209,9.0,8.0,6.6,7.866666666666667,7.866666666666667
21000210,8.4,7.25,9.0,8.216666666666667,8.216666666666667
21000211,9.0,8.0,8.8,8.6,8.6
21000212,8.2,7.75,5.6,7.183333333333333,7.183333333333333
21000214,8.4,7.25,5.0,6.883333333333333,6.883333333333333
21000215,8.6,6.75,8.4,7.916666666666667,7.916666666666667
21000218,6.8,7.75,7.4,7.316666666666667,7.316666666666667
21000220,7.8,7.75,5.8,7.116666666666667,7.116666666666667
21000221,8.0,8.75,8.4,8.383333333333333,8.383333333333333
21000222,8.8,8.75,8.8,8.783333333333333,8.783333333333333
21000223,9.4,8.25,9.4,9.016666666666666,9.016666666666666
21000226,7.6,8.5,7.0,7.7,7.7
21000227,8.0,7.5,4.6,6.7,6.7
21000230,9.0,4.75,5.4,6.383333333333333,6.383333333333333
21000231,7.8,7.5,3.8,6.366666666666667,6.366666666666667
21000234,8.6,8.0,9.8,8.8,8.8
21000235,8.8,7.25,9.0,8.35,8.35
21000236,8.8,6.75,5.0,6.8500000000000005,6.8500000000000005
21000239,8.8,6.25,7.8,7.616666666666667,7.616666666666667
21000241,7.2,6.25,7.6,7.016666666666666,7.016666666666666
21000243,8.0,7.5,9.6,8.366666666666667,8.366666666666667
21000245,8.0,7.75,8.6,8.116666666666667,8.116666666666667
21000246,9.2,8.0,9.6,8.933333333333332,8.933333333333332
21000247,7.4,7.0,4.6,6.333333333333333,6.333333333333333
21000248,7.8,7.25,8.6,7.883333333333333,7.883333333333333
21000250,8.8,8.25,9.0,8.683333333333334,8.683333333333334
21000251,8.8,7.75,5.6,7.383333333333333,7.383333333333333
21000252,5.4,7.25,5.2,5.95,5.95
21000253,8.2,7.75,8.0,7.983333333333333,7.983333333333333
21000254,8.0,7.75,9.2,8.316666666666666,8.316666666666666
21000255,8.4,7.5,7.2,7.7,7.7
21000256,7.8,6.75,7.8,7.45,7.45
21000257,8.6,7.25,8.8,8.216666666666667,8.216666666666667
21000258,6.6,6.75,5.4,6.25,6.25
21000259,8.4,7.5,5.8,7.233333333333333,7.233333333333333
21000260,7.4,6.5,5.6,6.5,6.5
21000261,7.2,6.5,5.8,6.5,6.5
21000262,9.0,8.25,9.2,8.816666666666666,8.816666666666666
21000263,8.8,7.75,7.8,8.116666666666667,8.116666666666667
21000264,9.0,6.75,8.8,8.183333333333334,8.183333333333334
21000267,8.8,6.5,4.4,6.566666666666667,6.566666666666667
21000268,8.4,7.25,8.4,8.016666666666667,8.016666666666667
21000269,8.6,7.25,8.8,8.216666666666667,8.216666666666667
21000272,8.0,8.25,6.8,7.683333333333334,7.683333333333334
21000274,8.8,6.75,6.2,7.25,7.25
21000275,8.2,7.75,4.6,6.849999999999999,6.849999999999999
21000276,8.2,8.5,9.6,8.766666666666666,8.766666666666666
21000277,7.8,8.0,7.2,7.666666666666667,7.666666666666667
21000278,8.8,8.0,8.2,8.333333333333334,8.333333333333334
21000279,8.4,8.25,9.4,8.683333333333332,8.683333333333332
21000280,8.0,8.0,6.8,7.6,7.6000000000000005
21000281,7.8,8.5,6.4,7.566666666666667,7.566666666666667
21000283,8.8,8.25,9.6,8.883333333333333,8.883333333333333
21000284,9.0,8.25,9.0,8.75,8.75
21000286,5.4,7.0,5.6,6.0,6.0
21000287,8.0,6.5,4.2,6.233333333333333,6.233333333333333
21000288,8.8,7.75,9.8,8.783333333333333,8.783333333333333
21000289,8.2,6.75,4.6,6.516666666666666,6.516666666666666
21000290,8.6,6.75,3.8,6.383333333333333,6.383333333333333
21000291,9.2,7.25,5.6,7.349999999999999,7.349999999999999
21000294,8.0,7.75,7.6,7.783333333333334,7.783333333333334
21000295,6.8,6.5,3.8,5.7,5.7
21000299,8.4,6.75,5.6,6.916666666666667,6.916666666666667
21000300,8.4,8.0,9.2,8.533333333333333,8.533333333333333
21000301,8.2,7.25,6.6,7.349999999999999,7.349999999999999
21000302,7.2,7.75,6.8,7.25,7.25
21000303,8.8,7.75,9.6,8.716666666666667,8.716666666666667
21000304,8.4,7.5,5.8,7.233333333333333,7.233333333333333
21000305,8.6,9.0,9.0,8.866666666666667,8.866666666666667
21000306,8.2,8.25,9.8,8.75,8.75
21000307,8.2,8.25,9.2,8.549999999999999,8.549999999999999
21000308,9.4,7.5,9.0,8.633333333333333,8.633333333333333
21000309,7.6,7.25,7.2,7.35,7.3500000000000005
21000311,8.8,6.5,5.4,6.900000000000001,6.900000000000001
21000312,8.6,7.5,6.6,7.566666666666667,7.566666666666667
21000313,6.8,7.5,6.6,6.966666666666666,6.966666666666666
21000319,8.4,8.0,7.4,7.933333333333333,7.933333333333333
21000322,8.2,8.25,3.2,6.55,6.55
21000323,9.2,8.5,9.6,9.1,9.1
21000324,8.4,8.0,7.6,8.0,8.0
21000325,8.2,8.25,6.8,7.75,7.75
21000326,7.8,8.5,8.6,8.299999999999999,8.299999999999999
21000327,7.6,7.75,4.0,6.45,6.45
21000328,7.8,8.25,8.2,8.083333333333334,8.083333333333334
21000329,8.4,8.25,5.4,7.349999999999999,7.349999999999999
21000330,9.0,8.5,9.6,9.033333333333331,9.033333333333333
21000331,6.4,8.0,7.8,7.399999999999999,7.3999999999999995
21000332,8.6,7.75,9.6,8.65,8.65
21000333,7.0,7.75,6.0,6.916666666666667,6.916666666666667
21000334,8.6,7.0,8.8,8.133333333333333,8.133333333333333
21000337,8.8,7.75,3.6,6.716666666666668,6.716666666666668
21000338,8.4,7.5,9.2,8.366666666666667,8.366666666666667
21000339,8.6,7.5,9.4,8.5,8.5
21000340,8.8,7.0,9.0,8.266666666666667,8.266666666666667
21000342,8.0,8.25,7.4,7.883333333333333,7.883333333333333
21000343,7.6,8.0,8.8,8.133333333333333,8.133333333333333
21000345,8.2,6.5,8.0,7.566666666666666,7.566666666666666
21000346,9.0,6.75,9.0,8.25,8.25
21000348,8.4,8.25,7.4,8.016666666666666,8.016666666666666
21000350,9.4,7.75,9.8,8.983333333333333,8.983333333333333
21000352,9.0,6.75,4.8,6.8500000000000005,6.8500000000000005
21000353,9.8,6.5,2.8,6.366666666666667,6.366666666666667
21000354,8.8,6.25,5.6,6.883333333333333,6.883333333333333
21000356,8.6,6.5,6.4,7.166666666666667,7.166666666666667
21000357,9.2,8.0,9.4,8.866666666666667,8.866666666666667
21000361,5.0,7.0,5.0,5.666666666666667,5.666666666666667
21000362,8.8,7.25,6.8,7.616666666666667,7.616666666666667
21000363,9.0,6.5,4.6,6.7,6.7
21000365,8.0,7.75,4.2,6.65,6.6499999999999995
21000366,7.8,7.5,6.6,7.3,7.3
21000367,8.8,7.5,9.8,8.700000000000001,8.700000000000001
21000368,8.6,9.0,8.4,8.666666666666666,8.666666666666666
21000369,7.8,4.5,8.2,6.833333333333333,6.833333333333333
21000370,8.2,7.5,6.6,7.433333333333333,7.433333333333333
21000371,8.2,0.0,8.2,5.466666666666666,5.466666666666666
