SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
6000002,5.0,7.0,2.6,4.866666666666666,4.866666666666666
6000003,4.2,6.0,2.2,4.133333333333333,4.133333333333333
6000004,3.2,4.25,3.2,3.5500000000000003,3.5500000000000003
6000005,4.2,8.0,4.0,5.4,5.3999999999999995
6000006,3.4,3.25,5.0,3.883333333333333,3.8833333333333333
6000007,7.8,7.25,9.4,8.15,8.15
6000010,4.8,5.25,3.4,4.483333333333333,4.483333333333333
6000011,4.6,6.5,3.6,4.9,4.8999999999999995
6000012,7.2,6.5,4.0,5.9,5.8999999999999995
6000013,2.2,3.25,2.2,2.5500000000000003,2.5500000000000003
6000014,6.6,4.5,2.2,4.433333333333334,4.433333333333334
6000016,4.2,4.5,2.0,3.5666666666666664,3.5666666666666664
6000017,3.8,5.5,2.2,3.8333333333333335,3.8333333333333335
6000018,5.4,8.0,3.8,5.733333333333333,5.733333333333333
6000019,4.6,5.75,2.4,4.25,4.25
6000021,3.6,6.25,3.0,4.283333333333333,4.283333333333333
6000022,3.0,5.75,2.6,3.783333333333333,3.783333333333333
6000023,6.4,7.5,3.6,5.833333333333333,5.833333333333333
6000024,3.8,6.0,3.8,4.533333333333334,4.533333333333334
6000025,6.0,5.8,4.0,5.266666666666667,5.266666666666667
6000026,2.8,4.16,3.0,3.3200000000000003,3.3200000000000003
6000027,5.0,5.09,3.2,4.43,4.43
6000029,5.2,5.5,3.0,4.566666666666666,4.566666666666666
6000030,2.8,3.75,5.0,3.85,3.85
6000031,7.0,6.25,5.8,6.3500000000000005,6.3500000000000005
6000033,6.0,6.0,3.0,5.0,5.0
6000034,4.4,6.75,3.6,4.916666666666667,4.916666666666667
6000036,3.6,4.5,2.0,3.3666666666666667,3.3666666666666667
6000037,4.4,4.0,3.2,3.866666666666667,3.866666666666667
6000038,3.2,5.0,2.6,3.6,3.5999999999999996
6000039,6.2,6.75,3.6,5.516666666666667,5.516666666666667
6000040,4.4,5.75,3.0,4.383333333333334,4.383333333333334
